City,Longitude,Latitude,Total Population,Male Population,Female Population,Age 0-18,Age 19-35,Age 36-50,Age 51+,Average Temperature (°C),Mortality Rate (%),Average Income (AED),Healthcare Expenditure (% of Income)
Fujairah,56.3315,25.2769,653979,450886,203093,106683,216436,31693,295432,25.974509136091044,1.1149829740017947,25358,6.466480811521818
Ajman,55.5136,25.4052,1061977,732180,329797,225286,264324,56061,79963,27.022374754407007,0.905113904471841,20772,11.262077565958624
Abu Dhabi,54.366,24.4539,4145310,2857986,1287324,293354,284145,72435,208313,33.49920170544658,1.3594884380775594,13068,9.625008740290983
Abu Dhabi,54.366,24.4539,727055,501268,225787,167013,247714,10992,294674,28.49481105987893,0.23554084194962502,16002,12.380625539854664
Sharjah,55.391,25.3225,909655,627162,282493,45572,113686,55659,180784,34.62439035638132,0.7221985101642467,23993,5.125294837769826
Ajman,55.5136,25.4052,2490526,1717094,773432,113627,231036,279897,200196,28.449919332511946,0.7756622105072728,22607,7.765620770644125
Fujairah,56.3315,25.2769,986038,679824,306214,60384,195826,231082,145749,25.443444440753378,0.4340555875403612,17038,6.343151769572108
Fujairah,56.3315,25.2769,2979654,2054324,925330,265523,30793,156787,129975,26.968638827005666,0.7755485590184168,22477,6.634485028803888
Sharjah,55.391,25.3225,3734152,2574513,1159639,214829,205677,174552,259235,25.352909974477832,0.8494986172243202,22780,9.70499530375794
Sharjah,55.391,25.3225,4969236,3426042,1543194,294569,231127,65411,93126,39.36545450552844,1.2835018482740501,14642,14.386433006680047
Sharjah,55.391,25.3225,3285242,2265012,1020230,202736,143223,114112,25247,27.187003573885264,1.4774672045916297,16801,8.909848531692568
Ajman,55.5136,25.4052,1133310,781361,351949,172046,125895,14201,80282,27.34973586130357,0.5230181426989706,11638,6.824216377719905
Dubai,55.2708,25.2768,4698633,3239475,1459158,248117,100324,248824,247746,29.030852760934064,1.2379677983608437,10573,5.837696393648912
Ras Al Khaimah,55.9486,25.7915,2540974,1751876,789098,39850,77376,188598,123496,33.574768862078926,0.5880133761513798,27475,13.245636040224754
Abu Dhabi,54.366,24.4539,4307294,2969666,1337628,106539,122910,259871,253085,38.13448190800308,0.6815513371937693,17635,12.770486874667395
Ras Al Khaimah,55.9486,25.7915,4752733,3276774,1475959,79297,156688,160797,168817,25.00624866284634,0.8640819746037481,11227,14.788849602920601
Sharjah,55.391,25.3225,1262580,870486,392094,72191,112446,212037,67886,29.53572055658097,0.6444400897481366,26953,7.747609818113974
Abu Dhabi,54.366,24.4539,495890,341891,153999,122401,27075,217750,163590,37.122563658747445,0.7729054377190138,12038,14.056236388126731
Abu Dhabi,54.366,24.4539,4719887,3254129,1465758,179203,240460,34288,83267,26.672366805310364,0.9471441331704399,16089,6.052880624392472
Ras Al Khaimah,55.9486,25.7915,2928540,2019083,909457,97910,101955,248453,142669,32.85804064421849,0.350417814262742,14583,14.624797791262731
Sharjah,55.391,25.3225,1087105,749505,337600,64096,39548,89557,297419,31.112385518125066,0.9047631122998634,24116,14.431615841028414
Fujairah,56.3315,25.2769,1248690,860910,387780,56266,257886,128090,121871,34.13674988378066,0.8360107489152703,10396,10.35391034753205
Umm Al Quwain,55.564,25.5225,4793893,3305152,1488741,85967,250423,231621,242564,30.573973743030315,0.857326897509877,15520,7.343234735079588
Umm Al Quwain,55.564,25.5225,2561244,1765851,795393,144658,40145,138488,185702,29.244846888776035,0.2523741987696082,12833,8.075922519909094
Ras Al Khaimah,55.9486,25.7915,2071624,1428282,643342,220910,18527,71530,65190,30.734139094100193,0.9223692055757502,28938,6.901867232420295
Ajman,55.5136,25.4052,3535581,2437608,1097973,168974,80416,61123,118551,30.601742612776338,1.2516631093739443,11523,12.811601989871612
Dubai,55.2708,25.2768,3415581,2354874,1060707,193520,207427,45853,257562,34.62294905629575,1.2623238786889226,26660,13.779489485233633
Ajman,55.5136,25.4052,2862894,1973824,889070,127159,170485,55033,234168,31.813611291592153,0.3021131632573577,24796,9.239033436532338
Abu Dhabi,54.366,24.4539,3800018,2619924,1180094,154347,206631,245615,265931,28.403970954137765,0.9533337462433095,25874,8.297641723891177
Ras Al Khaimah,55.9486,25.7915,2161709,1490391,671318,26211,242099,213900,187143,37.40429012358277,1.3017312571685276,18658,11.02134123397744
Dubai,55.2708,25.2768,2619143,1805769,813374,213487,173422,100167,105882,31.640437205777392,1.1270511653962905,19267,7.377970001264869
Abu Dhabi,54.366,24.4539,3452426,2380277,1072149,214335,147628,62393,84350,35.768221803694125,1.126445265565997,13231,5.080760418107431
Umm Al Quwain,55.564,25.5225,1608186,1108764,499422,64912,181074,265024,282903,25.560558162775028,1.4454788369385767,15064,12.900775622685291
Fujairah,56.3315,25.2769,1585804,1093333,492471,49049,271426,50345,130563,29.612742434691064,0.7635824882851366,23831,12.839615534408262
Sharjah,55.391,25.3225,4287629,2956108,1331521,118180,225661,34123,14878,26.490437205289208,1.267746715967229,28339,5.4167858660804775
Dubai,55.2708,25.2768,649956,448112,201844,207743,137220,264028,103116,37.733997871762824,1.4017094108682437,17585,5.785098535642563
Umm Al Quwain,55.564,25.5225,854647,589236,265411,247233,249679,18014,189171,33.50869228300793,0.11797821718656665,20640,11.476194017785195
Fujairah,56.3315,25.2769,3331708,2297048,1034660,157511,86442,67547,79901,31.710480237623432,1.4445297097377872,13783,12.839270179064538
Sharjah,55.391,25.3225,2970338,2047901,922437,15958,16066,102581,24029,36.790873356313135,1.308404652679477,28376,11.957072478424847
Ras Al Khaimah,55.9486,25.7915,3051742,2104025,947717,136325,131747,28315,148230,37.4387293174307,0.7863232614006362,29688,7.9900105573699225
Abu Dhabi,54.366,24.4539,4000993,2758487,1242506,101610,206580,215336,57499,33.49240280623735,0.4332673721069198,13888,14.335176025476596
Ras Al Khaimah,55.9486,25.7915,2185207,1506592,678615,131279,241468,239440,246026,27.155939934818075,0.27344854383293693,23192,13.350501192743891
Abu Dhabi,54.366,24.4539,4161305,2869014,1292291,19620,128511,272978,51113,29.538197780253768,0.9368643521204117,22364,8.247527678771231
Sharjah,55.391,25.3225,1680219,1158428,521791,146731,172804,20025,236867,31.478502915711672,0.8963144890754428,27525,12.029868001071687
Fujairah,56.3315,25.2769,4242113,2924727,1317386,51257,173380,82550,85879,37.72244545085317,0.5177097214072809,17248,8.32126448013515
Ajman,55.5136,25.4052,2332684,1608270,724414,236540,264962,211072,86441,27.412795638363377,0.23826995127143455,23693,14.088470111521055
Ajman,55.5136,25.4052,4223731,2912054,1311677,52576,101719,84526,125220,27.060730178850925,0.6350881260428828,18460,9.688362741936224
Ras Al Khaimah,55.9486,25.7915,1370348,944787,425561,94327,275491,145137,292848,39.05172076049385,0.12847331408880652,13633,5.942716579824739
Umm Al Quwain,55.564,25.5225,1127604,777427,350177,269890,78186,243970,48926,31.919042764239677,0.4126584726923126,23521,11.944270272463474
Abu Dhabi,54.366,24.4539,4716902,3252071,1464831,236421,183462,194885,32984,26.19936036945653,0.37318207520570124,14142,6.630896140082977
Umm Al Quwain,55.564,25.5225,3194856,2202695,992161,84438,61506,192013,271033,32.36369785619445,0.6550453144786085,23841,8.001730374872334
Dubai,55.2708,25.2768,4169364,2874570,1294794,232488,217586,125685,168070,39.77384586970188,0.5913184360625646,12415,13.942878334423462
Fujairah,56.3315,25.2769,178423,123013,55410,142669,187722,51596,278053,27.946379153280503,0.12272122768441514,27391,11.468555084842878
Dubai,55.2708,25.2768,2364954,1630519,734435,98066,116794,181247,109362,34.104013674517205,0.9918520294644213,17317,13.464070505647749
Fujairah,56.3315,25.2769,3403635,2346638,1056997,125673,237581,133078,198978,38.135247450877756,1.412084009936549,20884,5.909970242999538
Dubai,55.2708,25.2768,1993106,1374148,618958,191967,279318,131879,258142,32.993684624726896,0.8335523663119807,29896,6.237340327447939
Umm Al Quwain,55.564,25.5225,4204978,2899124,1305854,44194,165286,97334,83043,34.82723404595848,0.9894691673093993,24121,7.620162169673041
Abu Dhabi,54.366,24.4539,4573558,3153242,1420316,234162,255271,148905,165913,30.944688148014947,1.162290341910862,16623,9.737429512594765
Sharjah,55.391,25.3225,695436,479468,215968,110557,111076,31580,151153,36.66496942099024,1.1474066300491101,16166,8.532731164107624
Umm Al Quwain,55.564,25.5225,1221221,841971,379250,187834,259467,263023,188805,33.32508371091858,0.24750647417059854,17953,13.017075405813577
Sharjah,55.391,25.3225,849653,585793,263860,251408,176401,91238,183284,28.59955074818315,1.1267965145064758,23574,7.683874610421217
Fujairah,56.3315,25.2769,1786372,1231615,554757,250507,14599,201940,191658,30.086064675544748,1.3231596642195955,24379,14.547720282963652
Sharjah,55.391,25.3225,2341053,1614040,727013,243801,70310,249638,218450,35.18851935675188,0.4732338722120544,14158,12.495899662327059
Fujairah,56.3315,25.2769,3712294,2559443,1152851,10302,207947,12110,185890,34.253110537924336,0.3715943116283149,18263,11.964626187965564
Fujairah,56.3315,25.2769,399229,275248,123981,124699,172836,197651,87907,39.44975830346058,0.43623707266200595,21113,14.620130786347938
Dubai,55.2708,25.2768,694139,478574,215565,101456,24277,252202,133173,28.643212180031586,0.817146196764938,27421,5.802866102144453
Fujairah,56.3315,25.2769,504930,348124,156806,71508,220574,179705,116943,27.560943755312973,0.3652616491357311,11437,13.381665105579593
Umm Al Quwain,55.564,25.5225,3697204,2549039,1148165,209128,68292,212183,224335,35.007149842371305,0.9301747348654904,27405,5.412006222514087
Fujairah,56.3315,25.2769,2706844,1866235,840609,265315,143647,67090,144195,25.549015605982262,0.6199919637986462,11172,13.331655664265377
Fujairah,56.3315,25.2769,919608,634024,285584,271984,120915,181414,69837,38.317101162583484,0.5830197599242661,17848,7.361301208907985
Umm Al Quwain,55.564,25.5225,619476,427098,192378,14424,231154,29843,167248,34.46338310956421,0.12130362444380914,22653,7.51877035628124
Sharjah,55.391,25.3225,3523073,2428984,1094089,195823,165794,61497,189673,36.190137948442725,0.8564891855074894,19700,13.573664801995736
Fujairah,56.3315,25.2769,2263343,1560463,702880,126464,232379,73222,156653,36.37852249710418,1.4421885695282188,21161,13.854036293875813
Sharjah,55.391,25.3225,4896097,3375617,1520480,25374,46041,34870,250867,39.040780066847475,1.4905054557873745,14076,5.497326694338515
Ras Al Khaimah,55.9486,25.7915,4650665,3206403,1444262,62472,32971,219903,18649,31.13565765788831,0.3542981611258308,28104,12.347890927173452
Ajman,55.5136,25.4052,4430105,3054338,1375767,91278,270033,78433,193462,33.67050682473103,0.344358198538831,13623,5.54155640720157
Ras Al Khaimah,55.9486,25.7915,201424,138871,62553,70122,15387,290997,137413,38.03233904791683,1.4735475739290858,14632,14.276900174677628
Umm Al Quwain,55.564,25.5225,4269055,2943302,1325753,43174,262768,211163,95370,33.24867184301098,0.5489519407895838,25326,9.885353765203487
Ajman,55.5136,25.4052,3138521,2163855,974666,253866,262956,289683,152453,27.75471931874078,0.54230047989815,15286,14.61441278290467
Abu Dhabi,54.366,24.4539,2807619,1935714,871905,177754,21967,228986,225370,25.154954272638097,0.37145111317428925,27498,9.33064565598076
Abu Dhabi,54.366,24.4539,4338505,2991185,1347320,135782,195827,50051,59900,25.776731600949763,0.11455046003376541,25934,8.487754284284721
Umm Al Quwain,55.564,25.5225,1599922,1103067,496855,249622,93262,11489,256678,27.46601026483068,0.18867579311682545,11549,6.40072178106848
Sharjah,55.391,25.3225,1671607,1152490,519117,270236,195613,107261,19613,27.933876413166242,0.8902127140682329,15712,6.922768503829141
Abu Dhabi,54.366,24.4539,3669442,2529899,1139543,294760,184857,139394,184669,33.31984428424265,0.15003676850693698,28643,14.290789231876168
Sharjah,55.391,25.3225,2832848,1953108,879740,45647,215443,99877,30575,27.602577716436542,0.5692822948646932,25683,7.537790763805016
Sharjah,55.391,25.3225,752536,518836,233700,185457,130367,103760,266138,31.597773301298247,1.3998467301169089,10351,13.806516820541479
Umm Al Quwain,55.564,25.5225,3175410,2189288,986122,64512,270833,133115,125391,31.549033336615338,1.4795898911975887,13132,11.916130107864916
Fujairah,56.3315,25.2769,4949361,3412340,1537021,21571,140079,47579,72717,25.592544056355205,0.5282847306221821,26628,14.167848958128888
Ras Al Khaimah,55.9486,25.7915,2853242,1967169,886073,25606,268461,219650,275288,36.87838664295859,1.121345958451328,22922,7.0525529035827645
Fujairah,56.3315,25.2769,2845207,1961629,883578,213814,281440,268254,53119,38.23899800175129,1.4320797352179993,23208,6.589603163995227
Ras Al Khaimah,55.9486,25.7915,434662,299677,134985,135169,71812,35113,180171,39.06062645706587,0.5386588418601217,14230,8.86131758306704
Abu Dhabi,54.366,24.4539,837660,577525,260135,20560,106838,236411,177077,32.93942612716572,0.11365845910193295,25758,14.540499351560173
Abu Dhabi,54.366,24.4539,3006903,2073111,933792,184248,286987,56643,158504,38.784996301471374,0.276550217267421,25236,7.885659036056511
Fujairah,56.3315,25.2769,3679012,2536497,1142515,88464,200983,208868,27594,34.96429091137492,0.4430268445430635,14794,10.472131890550568
Sharjah,55.391,25.3225,1092318,753099,339219,114300,100612,179214,47626,29.255743844962975,1.3021833646206913,18195,12.03770371080683
Ajman,55.5136,25.4052,3418808,2357099,1061709,71621,32781,25507,169192,28.676859837622764,1.3341712315679775,11944,7.674575897078759
Umm Al Quwain,55.564,25.5225,3323944,2291695,1032249,162678,209871,288802,279484,38.14985023463029,0.7826272972201865,16417,5.780146193850975
Sharjah,55.391,25.3225,3292981,2270347,1022634,150323,238822,48014,141352,28.274031020500278,0.8357022481377971,24024,10.846973835422695
Sharjah,55.391,25.3225,4927823,3397490,1530333,216292,216802,151203,153730,38.14288479203209,0.9948206465388465,29702,12.894428762262322
Sharjah,55.391,25.3225,3387451,2335480,1051971,161179,78448,59396,174089,30.00960951999048,0.22829246988430663,12066,6.577422475941144
Fujairah,56.3315,25.2769,2413265,1663827,749438,275789,245065,269307,262092,32.60633848924733,0.46422341372574705,17016,14.679308681179638
Fujairah,56.3315,25.2769,4978633,3432521,1546112,101636,148557,103361,146169,39.99362697130351,0.5879802711165397,17206,5.0719187224339315
Fujairah,56.3315,25.2769,1792826,1236065,556761,111402,254706,284318,163476,33.33679544900751,0.5154661829681556,17230,10.919122042587126
Fujairah,56.3315,25.2769,3471261,2393263,1077998,233967,286176,70143,42774,29.26018126070601,0.6790286680589028,18568,11.888884763856971
Sharjah,55.391,25.3225,4003128,2759959,1243169,52394,10086,297005,104121,30.643872279770882,0.9732499308188723,29722,9.943222156648753
Sharjah,55.391,25.3225,3258920,2246864,1012056,126589,98786,10977,52778,29.07204255165362,0.6502699218566842,16523,7.53646598632662
Dubai,55.2708,25.2768,4410038,3040503,1369535,168094,86132,280484,209711,38.17991510268806,0.398328533773072,29820,12.041819358126634
Abu Dhabi,54.366,24.4539,325246,224241,101005,193531,141010,124073,20244,39.637756227474746,1.4130221534710639,26252,8.004747684930663
Abu Dhabi,54.366,24.4539,1200280,827533,372747,85389,185108,262128,120177,38.265369151057826,0.9467238016549921,27557,9.00509161026308
Ras Al Khaimah,55.9486,25.7915,2037033,1404433,632600,18311,293128,149541,38861,30.230603335340298,1.4201710045108706,19772,14.258804989008153
Ajman,55.5136,25.4052,2877910,1984176,893734,229832,65597,145920,266738,29.95199429384346,0.7886541188985849,12255,11.099902510334726
Ras Al Khaimah,55.9486,25.7915,1537375,1059944,477431,44863,60769,76085,74847,27.91834318220389,1.4273631278163201,14122,7.358581118831547
Fujairah,56.3315,25.2769,413775,285277,128498,150424,142396,266789,237729,27.255091220320953,0.16742184929853385,11047,5.001381797609863
Ajman,55.5136,25.4052,3021647,2083276,938371,248093,27852,235925,81764,25.78158395114809,1.39665962268252,26597,9.939783071995965
Fujairah,56.3315,25.2769,1034502,713238,321264,272805,122377,147277,289549,26.869829771538623,1.3651035712171369,16768,10.465465470230576
Fujairah,56.3315,25.2769,4146656,2858914,1287742,298351,127411,106575,151501,33.75088453593273,0.9422177783511063,25444,8.706084906910668
Umm Al Quwain,55.564,25.5225,2992457,2063151,929306,56822,298770,234981,36704,27.465718467248085,1.3534031847097137,10984,10.32283970385846
Ras Al Khaimah,55.9486,25.7915,956933,659758,297175,244447,277457,23827,58193,28.173827539089327,1.4801478021448007,15267,10.533773173315565
Dubai,55.2708,25.2768,2395783,1651774,744009,103949,109001,248869,298572,31.283053619016314,0.5776702550643168,17052,12.733522885960205
Ajman,55.5136,25.4052,4383229,3022020,1361209,286032,86876,142556,103473,29.449367710704948,0.30123666939278504,21438,9.370055033424624
Abu Dhabi,54.366,24.4539,453292,312522,140770,239987,172397,294451,185789,27.991056338174804,1.4670607705142205,13650,13.482963858127368
Sharjah,55.391,25.3225,4850118,3343916,1506202,149360,154972,196980,274007,31.52199545813914,0.1405913229537871,19022,8.118603089830998
Abu Dhabi,54.366,24.4539,4832428,3331720,1500708,111584,122905,115935,193622,35.59210427836949,0.13837144221689862,24300,7.3719964872505885
Sharjah,55.391,25.3225,1681461,1159284,522177,152683,34019,236548,246217,30.233347638783002,0.14617543443542752,25067,13.76117488406967
Abu Dhabi,54.366,24.4539,4778704,3294680,1484024,109981,65348,98123,110501,25.767177613513393,1.1659185774367402,19820,7.216257533344233
Ajman,55.5136,25.4052,2505188,1727203,777985,189506,184535,235000,183720,28.65474064954639,1.2583751741825426,13442,7.533554884437633
Ajman,55.5136,25.4052,1428180,984659,443521,245199,114949,117746,205641,28.350187828640422,1.1249235586367758,15910,9.175843118584009
Umm Al Quwain,55.564,25.5225,1769170,1219755,549415,47712,253600,157541,42436,32.975511282536694,1.1251005625370603,26705,11.02426896574709
Ajman,55.5136,25.4052,2749286,1895496,853790,161544,59138,11997,66238,34.72624883079098,1.017261145601088,20988,8.805925893114779
Dubai,55.2708,25.2768,1874040,1292058,581982,103962,123532,265736,155249,36.400987985691785,0.4861203723463712,10995,5.056699479899944
Abu Dhabi,54.366,24.4539,3781281,2607006,1174275,47458,207715,93661,63284,30.91250497516366,0.10466930145527686,22802,6.027024281673273
Fujairah,56.3315,25.2769,1625643,1120800,504843,182640,105599,140195,89333,35.05805644086251,0.3220912649740278,22957,7.507850038226776
Umm Al Quwain,55.564,25.5225,2199240,1516267,682973,125959,175359,46379,230770,33.71952165428566,0.5207398063462749,11797,10.631453109006996
Fujairah,56.3315,25.2769,444613,306538,138075,92207,118612,237145,88954,29.977695333525862,1.0655198185542383,19576,11.57245310668485
Umm Al Quwain,55.564,25.5225,3559409,2454036,1105373,23252,152901,58542,145609,38.146915741403504,1.3278585355041619,13962,13.686352756668922
Umm Al Quwain,55.564,25.5225,3338324,2301609,1036715,287759,55966,87465,269898,35.96384946026111,1.4599166263737022,29378,7.279420147095635
